"","full_affiliation","clean_name"
"569","Department of Neurology, Johns Hopkins University, Baltimore, MD 21218","Johns Hopkins University"
"570","Johns Hopkins University, Computer Science; University of Maryland, School of Law","Johns Hopkins University"
"571","Johns Hopkins University, Computer Science","Johns Hopkins University"
"572","Johns Hopkins University, Computer Science","Johns Hopkins University"
"573","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"574","Department of Educational Administration and Policy, Faculty of Education, The Chinese University of Hong Kong, Hong Kong, China","The Chinese University of Hong Kong"
"575","Institute of International and Comparative Education, Faculty of Education, East China Normal University, Shanghai, China","Institute of International and Comparative Education"
"576","Department of Educational Administration and Policy, Faculty of Education, The Chinese University of Hong Kong, Hong Kong, China","The Chinese University of Hong Kong"
"577","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"578","Department of Computer Science Cornell University Ithaca, NY, USA","Department of Computer Science Cornell University Ithaca"
"579","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"580","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"581","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"582","Hydrological Sciences Laboratory, NASA Goddard Space Flight Center, Greenbelt, MD, USA",NA
"583","Hydrological Sciences Laboratory, NASA Goddard Space Flight Center, Greenbelt, MD, USA",NA
"584","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"585","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"586","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"587","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"588","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"589","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"590","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"591","PMMH, CNRS, ESPCI Paris, Université PSL, Sorbonne Université, Université de Paris, Paris, France",NA
"592","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"593","Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, USA","Johns Hopkins University"
"594","Uganda Tuberculosis Implementation Research Consortium, Makerere University, Kampala, Uganda","Makerere University"
"595","Uganda Tuberculosis Implementation Research Consortium, Makerere University, Kampala, Uganda","Makerere University"
"596","Uganda Tuberculosis Implementation Research Consortium, Makerere University, Kampala, Uganda","Makerere University"
"597","Uganda Tuberculosis Implementation Research Consortium, Makerere University, Kampala, Uganda","Makerere University"
"598","Uganda Tuberculosis Implementation Research Consortium, Makerere University, Kampala, Uganda","Makerere University"
"599","Uganda Tuberculosis Implementation Research Consortium, Makerere University, Kampala, Uganda","Makerere University"
"600","Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, USA","Johns Hopkins University"
"601","Johns Hopkins School of Medicine, Baltimore, Maryland, USA","Johns Hopkins University"
"602","Department of Medicine, Clinical Epidemiology and Biostatistics Unit, College of Health Sciences, Makerere University, Kampala, Uganda","Makerere University"
"603","Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, USA","Johns Hopkins University"
"604","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"605","Department of Obstetrics and Gynecology, University of Washington, Seattle, WA, USA","University of Washington"
"606","Department of Obstetrics, Gynecology and Reproductive Sciences, University of Pittsburgh, Pittsburgh, PA, USA","University of Pittsburgh"
"607","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"608","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"609","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"610","Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, USA","The Ohio State University"
"611","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"612","Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, USA","The Ohio State University"
"613","Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, USA","The Ohio State University"
"614","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"615","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"616","Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, USA","The Ohio State University"
"617","Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, USA","The Ohio State University"
"618","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"619","Department of the History of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"620","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, United States","Johns Hopkins University"
"621","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, United States","Johns Hopkins University"
"622","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, U.S.A.","Johns Hopkins University"
"623","LATMOS, Guyancourt, France",NA
"624","Lunar and Planetary Laboratory, University of Arizona, Tucson, Arizona, USA","University of Arizona"
"625","Lunar and Planetary Laboratory, University of Arizona, Tucson, Arizona, USA","University of Arizona"
"626","NASA Goddard Space Flight Center, Greenbelt, Maryland, USA",NA
"627","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, United States","Johns Hopkins University"
"628","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"629","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"630","Horn Point Laboratory, University of Maryland Center for Environmental Science, Cambridge, MD, USA","University of Maryland"
"631","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"632","Land Use and Environmental Change Institute, University of Florida, Gainesville, FL, USA","Land Use and Environmental Change Institute"
"633","Laboratory of Computational Biology, National Heart, Lung and Blood Institute, National Institutes of Health, Bethesda, MD, USA","Lung and Blood Institute"
"634","Laboratory of Computational Biology, National Heart, Lung and Blood Institute, National Institutes of Health, Bethesda, MD, USA","Lung and Blood Institute"
"635","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"636","Department of Global Disease Epidemiology and Control, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"637","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"638","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"639","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"640","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"641","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"642","Department of Pharmacology and Molecular Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"643","Department of Pharmacology and Molecular Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"644","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"645","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"646","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"647","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"648","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"649","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"650","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"651","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"652","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"653","Department of Geography and Environmental Engineering, Johns Hopkins University,  Baltimore, MD, USA","Johns Hopkins University"
"654","Department of Geography and Environmental Engineering, Johns Hopkins University,  Baltimore, MD, USA","Johns Hopkins University"
"655","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"656","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"657","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"658","College of Development Studies, Addis Ababa University, Addis Ababa, Ethiopia","Addis Ababa University"
"659","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"660","Friedman School of Nutrition Science and Policy, Tufts University, Boston, MA, USA","Tufts University"
"661","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"662","Friedman School of Nutrition Science and Policy, Tufts University, Boston, MA, USA","Tufts University"
"663","Department of Neuroscience, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"664","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"665","Department of Neurology, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"666","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"667","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"668","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"669","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"670","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"671","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"672","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"673","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"674","Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ, USA","University of Arizona"
"675","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"676","Department of Astronomy, Cornell University, Ithaca, NY, USA","Cornell University"
"677","Space Science Institute, Boulder, CO, USA","Space Science Institute"
"678","Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ, USA","University of Arizona"
"679","Department of Astronomy, University of Maryland, College Park, MD, USA","University of Maryland"
"680","Department of Astronomy, the University of Texas at Austin, Austin, TX, USA","the University of Texas at Austin"
"681","Space Telescope Science Institute, Baltimore, MD, USA","Space Telescope Science Institute"
"682","Institut de Planétologie et d’Astrophysique de Grenoble, Université Grenoble Alpes, CNRS, Grenoble, France","Institut de Planétologie et d’Astrophysique de Grenoble"
"683","Department of Sociology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"684","Department of History, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"685","Department of History, Idaho State University, Pocatello, ID, USA","Idaho State University"
"686","independent scholar, Barcelona, Spain",NA
"687","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"688","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"689","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"690","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"691","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"692","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"693","Department of Emergency Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"694","Department of Emergency Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"695","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"696","Department of Biochemistry and Molecular Biology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"697","Department of Biochemistry and Molecular Biology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"698","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"699","Department of Biochemistry and Molecular Biology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"700","Institute for Computational Medicine, Johns Hopkins University, Baltimore, MD, USA","Institute for Computational Medicine"
"701","Center for Clinical Metabolic Research, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark","University of Copenhagen"
"702","Department of Biophysics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"703","Department of Biomedical Sciences, University of Copenhagen, Copenhagen, Denmark","University of Copenhagen"
"704","Center for Clinical Metabolic Research, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark","University of Copenhagen"
"705","Center for Clinical Metabolic Research, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark","University of Copenhagen"
"706","Department of Biomedical Engineering; Solomon H. Snyder Department of Neuroscience, Johns Hopkins University, Baltimore, MD, USA; Department of Biology, University of Maryland, College Park, MD, USA","Johns Hopkins University"
"707","Department of Biology; Department of Anatomy and Neurobiology, University of Maryland, College Park, MD, USA","University of Maryland"
"708","Department of Biomedical Engineering; Solomon H. Snyder Department of Neuroscience; Kavli Neuroscience Discovery Institute, Johns Hopkins University, Baltimore, MD, USA; Department of Biology, University of Maryland, College Park, MD, USA","Department of Biomedical Engineering; Solomon H. Snyder Department of Neuroscience; Kavli Neuroscience Discovery Institute"
"709","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"710","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"711","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"712","Kavli Neuroscience Discovery Institute, Johns Hopkins University, Baltimore, MD, USA","Kavli Neuroscience Discovery Institute"
"713","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"714","Department of Earth and Planetary Sciences Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"715","Department of Earth and Planetary Sciences Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"716","Department of Earth and Planetary Sciences Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"717","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"718","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"719","Pulmonary and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"720","Pulmonary and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"721","Division of Geriatrics, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"722","Departments of Biology and Chemistry and Biochemistry, Florida International University, Miami, FL","Florida International University"
"723","Pulmonary and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"724","Pulmonary and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"725","Division of Geriatrics, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"726","Pulmonary and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, MD","Johns Hopkins University"
"727","Johns Hopkins University, Epidemiology","Johns Hopkins University"
"728","Johns Hopkins University, Epidemiology","Johns Hopkins University"
"729","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"730","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"731","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland","Johns Hopkins University"
"732","National Aeronautics and Space Administration Goddard Space Flight Center, Greenbelt, Maryland",NA
"733","National Aeronautics and Space Administration Goddard Space Flight Center, Greenbelt, Maryland",NA
"734","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland","Johns Hopkins University"
"735","National Aeronautics and Space Administration Goddard Space Flight Center, Greenbelt, Maryland",NA
"736","National Aeronautics and Space Administration Goddard Space Flight Center, Greenbelt, Maryland",NA
"737","National Aeronautics and Space Administration Goddard Space Flight Center, Greenbelt, Maryland",NA
"738","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"739","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"740","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"741","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"742","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"743","Department of Neuroscience, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"744","Department of Neuroscience, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"745","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"746","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"747","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"748","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"749","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"750","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"751","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"752","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"753","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"754","Horn Point Laboratory, University of Maryland Center for Environmental Science, Cambridge, MD, USA","University of Maryland"
"755","Horn Point Laboratory, University of Maryland Center for Environmental Science, Cambridge, MD, USA","University of Maryland"
"756","Horn Point Laboratory, University of Maryland Center for Environmental Science, Cambridge, MD, USA","University of Maryland"
"757","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"758","Imec, Leuven, Belgium",NA
"759","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"760","Imec, Leuven, Belgium",NA
"761","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"762","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"763","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"764","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"765","Department of Chemical and Biomolecular Engineering, University of Pennsylvania, Philadelphia, PA, USA","University of Pennsylvania"
"766","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"767","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"768","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"769","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"770","Department of Biological Sciences, New Jersey Institute of Technology, Newark, NJ, USA","New Jersey Institute of Technology"
"771","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"772","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"773","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"774","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"775","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"776","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"777","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"778","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"779","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"780","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"781","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"782","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"783","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"784","Ethiopia Country PI",NA
"785","Ghana Country PI",NA
"786","Malawi Country PI",NA
"787","Mali Country PI",NA
"788","Niger Country PI",NA
"789","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"790","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"791","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"792","Research and Exploratory Development Department, Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA","Johns Hopkins University"
"793","Auris Health, Inc., Redwood City, CA, USA",NA
"794","Department of Orthopaedic Surgery, Johns Hopkins Medicine, Baltimore, MD, USA","Johns Hopkins University"
"795","Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan","Nara Institute of Science and Technology"
"796","Department of Surgery and Perioperative Care, Dell Medical School, University of Texas, Austin, TX, USA","University of Texas"
"797","Department of Orthopaedic Surgery, Johns Hopkins Medicine, Baltimore, MD, USA","Johns Hopkins University"
"798","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"799","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"800","Hydrological Science Laboratory, NASA Goddard Space Flight Center, Greenbelt, MD, USA",NA
"801","Hydrological Science Laboratory, NASA Goddard Space Flight Center, Greenbelt, MD, USA",NA
"802","Science Systems and Applications Inc., Lanham, MD, USA",NA
"803","Applied Research Associates Inc., Raleigh, NC, USA",NA
"804","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"805","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"806","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"807","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"808","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"809","University of Caen, Normandy, France","University of Caen"
"810","Department of Psychological and Brain Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"811","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"812","Department of Oncology, Johns Hopkins University, Baltimore, MD USA","Johns Hopkins University"
"813","Department of Oncology, Johns Hopkins University, Baltimore, MD USA","Johns Hopkins University"
"814","Department of Radiology and Radiological Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"815","Department of Radiology and Radiological Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"816","F. M. Kirby Research Center for Functional Brain Imaging, Kennedy Krieger Research Institute, Baltimore, MD, USA.","Kennedy Krieger Research Institute"
"817","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"818","Department of Radiology and Radiological Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"819","Department of Radiology and Radiological Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"820","Picower Institute for Learning & Memory, Massachusetts Institute of Technology, Cambridge, MA, USA","Picower Institute for Learning & Memory"
"821","Department of Electrical Engineering and Computer Science, University of Liège, Liège, Belgium","University of Liège"
"822","Department of Neurobiology, Northwestern University, Chicago, IL, USA","Northwestern University"
"823","DIXI Neurolab, Inc., Stone Mountain, GA, USA",NA
"824","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"825","Department of Neurobiology, Northwestern University, Chicago, IL, USA","Northwestern University"
"826","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"827","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"828","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"829","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"830","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"831","Department of Electrical and Computer Engineering, The College of New Jersey, Ewing, NJ, USA",NA
"832","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"833","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"834","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"835","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"836","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"837","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"838","Department of Bioengineering, University of Pennsylvania, Philadelphia, PA, USA","University of Pennsylvania"
"839","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"840","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"841","Department of Bioengineering, University of Pennsylvania, Philadelphia, PA, USA","University of Pennsylvania"
"842","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"843","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"844","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"845","Department of Neuroscience, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"846","Department of Neuroscience, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"847","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"848","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"849","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"850","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"851","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"852","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"853","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
